time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.1886579075012117e-05,2.8573612422870603e-07,10.006869876829874,0.00010320710718225712,0.005199857370731031,0.0,-0.001330491473258926,1.897403677496997e-05,0.22897631394012663,0.002518227177242191,0.023808476266906006,0.0,475.3264990980577,477.14716820389816,475.80435056946646,475.9970489656771
0.12000000000000001,-0.00022802804587160124,8.94895211758299e-06,10.02440913458482,0.001626682503926169,0.008637823267140021,0.0,-0.005922779082488199,0.0004188235106710119,0.355631460175509,0.014207232937578227,0.0070336004084235095,0.0,446.06716340668794,444.6953769950455,444.8478070722319,445.80368819068207
0.18,-0.0007709556629086357,7.713319838086224e-05,10.049505473488713,0.003888431949333082,0.009197328192696475,0.0,-0.012239335145672662,0.0020805321090465907,0.4808670452395676,0.0260669624662086,0.0015982408920463976,0.0,445.20365346402025,444.7586899663478,444.5277096958718,445.4982851639779
0.23999999999999996,-0.0017308391154026086,0.0003136566030650763,10.085171093924753,0.007786691635598864,0.009283937406671328,0.0,-0.019766980755047937,0.006255244253399392,0.7078712810094338,0.04164625036058617,0.0009689301848235458,0.0,475.00117487603796,474.9528890315999,475.988567464158,477.1794439612862
0.3,-0.0031468060506099674,0.0009132455744562545,10.133339714003663,0.0180629319354928,0.012008414820422253,0.0,-0.02776682002353228,0.014880941685905702,0.8976030075870338,0.07101941970185245,-0.018158690060696692,0.0,465.8173330630622,464.3194276276301,463.9079277413139,466.2099620812032
0.36000000000000004,-0.005061302411696282,0.002198927627088137,10.190316242876023,0.022690228840586357,0.01187632568378394,0.0,-0.03602536775869888,0.028442516902149117,1.0015197380678647,0.0765552088316876,-0.008572994438989491,0.0,438.94258415624734,439.73735128184757,438.4877517084931,438.95152490712496
0.4200000000000001,-0.007518433579539074,0.004539084284795457,10.257800674085884,0.03724498815405397,0.011383978124654526,0.0,-0.045819384639160944,0.05131567934288984,1.2476772023542921,0.10994966970780878,-0.01179383361762396,0.0,481.9077283940096,481.6643681361227,481.29099970181557,483.81735062268615
0.48000000000000015,-0.010546712133462656,0.008508847518308028,10.337830646010676,0.046445275463044666,0.015472267807777662,0.0,-0.05561027978676811,0.0820597946817249,1.4197399025904185,0.09103352451078202,-0.0370136962039399,0.0,462.17973713895486,460.1879384492492,461.44935731767043,459.9628319836628
0.5400000000000001,-0.01422583401763847,0.014484180029079315,10.4274215761316,0.05267818839811156,0.015356050534019339,0.0,-0.06703036498642666,0.1177993251363004,1.5663986561523398,0.08014022309827375,-0.05415108605115391,0.0,454.87229031572053,453.4969730973669,453.7305293148814,452.86140464144864
0.6000000000000002,-0.018542037693829283,0.02259242227556593,10.523067644078735,0.058903678212327115,0.014284548557761845,0.0,-0.07675645297086676,0.1530533095595745,1.6216927984327252,0.09203512897806451,-0.07156095772476698,0.0,426.014745077819,424.5208590171214,424.7963514493258,425.8211930896516
0.6600000000000003,-0.023411075539043192,0.03293790200330373,10.622083949901814,0.06442239807441563,0.010340298273370685,0.0,-0.08517354585829624,0.1923203805924546,1.678737250178599,0.08981727592801397,-0.07934700110235099,0.0,426.9980791973453,426.3288376385722,425.64487981285976,425.46245765890336
0.7200000000000003,-0.028726810672367757,0.04586913196543391,10.7263227440666,0.07134043409906354,0.006511841528639373,0.0,-0.09162775669247253,0.23941792989953292,1.7956632757361422,0.10221525719335181,-0.09119293377055825,0.0,446.1756957981378,445.2019347831687,444.8431355847158,445.86459862375415
0.7800000000000004,-0.03434739153222654,0.06184856238639683,10.838624002249697,0.07777112404781494,0.0010978800495511365,0.0,-0.09512692882519853,0.2939231794192825,1.9474087223635492,0.09491753552851094,-0.08950298342049061,0.0,456.3245351670773,456.4527597549703,457.45455077492875,456.8813966369562
0.8400000000000004,-0.04006692288442563,0.08131455062839818,10.960677275240423,0.0898119035565319,6.281323696730578,0.0,-0.09517143417212127,0.35624540306511976,2.1206077453082735,0.121338033238632,-0.07365288317692449,0.0,462.99250047092823,464.23228826354546,463.27644306449935,465.35798561089024
0.9000000000000005,-0.045731236378211464,0.10436194041987079,11.08851306394014,0.09873256534265717,6.277552441380427,0.0,-0.09330721140067161,0.4127864547848139,2.1404615490201513,0.13421866477809283,-0.08375230814148502,0.0,416.26950199601015,415.37965370333495,415.97217762534774,417.11408666680325
0.9600000000000005,-0.0511940525215566,0.1312822077992749,11.220675806698203,0.10783233472017706,6.273590008146142,0.0,-0.08838150605289216,0.4854764351302397,2.2646079711710505,0.1442889613168656,-0.09630917660747164,0.0,450.45569650802935,449.4328274263584,449.96782553996746,450.7995345487167
1.0200000000000005,-0.056294328146599994,0.16250395864697753,11.357926801746714,0.11754002052595247,6.268213167756484,0.0,-0.08111543750350005,0.5561553319354591,2.310205472174633,0.13179715784520268,-0.09046373968410569,0.0,426.03128358090686,426.52280792646417,425.9203682823188,424.8699436177627
1.0800000000000005,-0.06078107942672752,0.19877026878736462,11.50304719188011,0.12812412688999153,6.264354136528453,0.0,-0.0680055015161659,0.6538988958785533,2.526497353922068,0.14855718996394707,-0.10543737934527744,0.0,479.0225787043093,477.87554052123255,479.391573008594,480.6792972828047
1.1400000000000006,-0.06444962155186083,0.24068123703588956,11.657515942449676,0.13750704571252825,6.258660089004067,0.0,-0.05369477311281801,0.7440365037705023,2.622076114001443,0.1549575601792212,-0.09784571400280538,0.0,444.50386482625004,445.11636108749656,442.6081410660437,443.1560186056421
